regime,seed,best_base_order,base_logloss,hmm_n_states,hmm_logloss,gap,separates,equivalent,gap_ci_low,gap_ci_high,sig_pos,sig_neg
latent_necessary,0,4,0.615814,2,0.607026,0.008788,False,True,0.003411,0.014671,True,False
latent_necessary,1,4,0.620496,2,0.613656,0.006841,False,True,0.001326,0.011991,True,False
latent_necessary,2,4,0.600173,2,0.595701,0.004472,False,True,-0.000328,0.010057,False,False
latent_necessary,3,4,0.618315,2,0.60927,0.009045,False,True,0.003976,0.013587,True,False
latent_necessary,4,4,0.613642,2,0.60455,0.009092,False,True,0.004494,0.013581,True,False
latent_necessary,5,4,0.59714,2,0.587152,0.009988,False,True,0.004713,0.01511,True,False
latent_necessary,6,4,0.615957,2,0.611217,0.00474,False,True,-0.000419,0.010804,False,False
latent_necessary,7,4,0.639957,2,0.627514,0.012444,True,False,0.006809,0.018429,True,False
latent_necessary,8,4,0.596461,2,0.593566,0.002894,False,True,-0.002133,0.008188,False,False
latent_necessary,9,4,0.598858,2,0.597926,0.000932,False,True,-0.005362,0.006794,False,False
latent_redundant,0,1,0.562644,2,0.563361,-0.000717,False,True,-0.001238,-0.000193,False,True
latent_redundant,1,3,0.578324,2,0.578284,4.1e-05,False,True,-0.002077,0.001931,False,False
latent_redundant,2,1,0.555968,2,0.555757,0.000211,False,True,-0.000621,0.001085,False,False
latent_redundant,3,1,0.540973,2,0.541567,-0.000594,False,True,-0.001972,0.00074,False,False
latent_redundant,4,4,0.577426,2,0.579033,-0.001607,False,True,-0.004221,0.000764,False,False
latent_redundant,5,1,0.560181,2,0.560379,-0.000198,False,True,-0.000568,0.000186,False,False
latent_redundant,6,3,0.558902,2,0.558893,9e-06,False,True,-0.001569,0.001511,False,False
latent_redundant,7,1,0.557179,2,0.561832,-0.004653,False,True,-0.007015,-0.002128,False,True
latent_redundant,8,2,0.568979,2,0.568854,0.000125,False,True,-0.001036,0.001294,False,False
latent_redundant,9,2,0.563754,2,0.564482,-0.000727,False,True,-0.002083,0.000598,False,False
positive_control,0,4,0.650303,2,0.635834,0.014469,True,False,0.00675,0.022256,True,False
positive_control,1,4,0.645049,2,0.631089,0.01396,True,False,0.007412,0.020608,True,False
positive_control,2,4,0.640481,2,0.630962,0.009518,False,True,0.001771,0.017171,True,False
positive_control,3,4,0.630935,2,0.624079,0.006856,False,True,-0.001017,0.015237,False,False
positive_control,4,4,0.625101,2,0.610332,0.014769,True,False,0.007983,0.021255,True,False
positive_control,5,4,0.630276,2,0.619041,0.011235,True,False,0.002457,0.020032,True,False
positive_control,6,4,0.64793,2,0.637016,0.010915,True,False,0.002707,0.019244,True,False
positive_control,7,4,0.641869,2,0.62939,0.012478,True,False,0.00547,0.019362,True,False
positive_control,8,4,0.634851,2,0.621805,0.013045,True,False,0.006708,0.020151,True,False
positive_control,9,4,0.645698,2,0.628364,0.017334,True,False,0.009908,0.024967,True,False
negative_control,0,2,0.693133,2,0.693157,-2.4e-05,False,True,-0.000237,0.000221,False,False
negative_control,1,1,0.693078,2,0.693077,1e-06,False,True,-3e-06,4e-06,False,False
negative_control,2,2,0.692638,2,0.692943,-0.000305,False,True,-0.000769,0.000171,False,False
negative_control,3,2,0.692322,2,0.692363,-4.2e-05,False,True,-0.001161,0.001183,False,False
negative_control,4,1,0.692952,2,0.692948,4e-06,False,True,-5e-06,1.3e-05,False,False
negative_control,5,0,0.693147,2,0.693727,-0.00058,False,True,-0.001587,0.000429,False,False
negative_control,6,1,0.693037,2,0.693043,-6e-06,False,True,-1.9e-05,1e-05,False,False
negative_control,7,0,0.694224,2,0.694251,-2.8e-05,False,True,-0.000265,0.000211,False,False
negative_control,8,0,0.693835,2,0.69391,-7.4e-05,False,True,-0.00029,0.000161,False,False
negative_control,9,1,0.692787,2,0.692798,-1.1e-05,False,True,-2.8e-05,6e-06,False,False
