p_stay,L_train,seed,true_gap,base_logloss,hmm_logloss,gap,separates,best_base_order
0.85,1500,0,0.000425,0.660574,0.659208,0.001365,False,3
0.85,1500,1,0.000425,0.655677,0.65409,0.001587,False,3
0.85,1500,2,0.000425,0.65362,0.651124,0.002496,False,4
0.85,1500,3,0.000425,0.660843,0.658813,0.00203,False,4
0.85,1500,4,0.000425,0.65036,0.65063,-0.00027,False,3
0.85,1500,5,0.000425,0.655559,0.654449,0.00111,False,3
0.85,1500,6,0.000425,0.659676,0.656963,0.002712,False,3
0.85,1500,7,0.000425,0.655386,0.654558,0.000828,False,3
0.85,1500,8,0.000425,0.656294,0.656538,-0.000245,False,3
0.85,1500,9,0.000425,0.661186,0.660683,0.000503,False,3
0.85,3000,0,0.000425,0.658017,0.658446,-0.000429,False,4
0.85,3000,1,0.000425,0.653233,0.65311,0.000123,False,3
0.85,3000,2,0.000425,0.651905,0.651528,0.000376,False,4
0.85,3000,3,0.000425,0.660111,0.659069,0.001042,False,3
0.85,3000,4,0.000425,0.650706,0.650837,-0.000131,False,3
0.85,3000,5,0.000425,0.655406,0.654296,0.00111,False,3
0.85,3000,6,0.000425,0.655189,0.654743,0.000446,False,3
0.85,3000,7,0.000425,0.654357,0.654656,-0.000299,False,3
0.85,3000,8,0.000425,0.652283,0.652634,-0.000351,False,3
0.85,3000,9,0.000425,0.658511,0.659246,-0.000735,False,4
0.85,6000,0,0.000425,0.659956,0.65873,0.001226,False,3
0.85,6000,1,0.000425,0.653724,0.652718,0.001006,False,3
0.85,6000,2,0.000425,0.65041,0.650818,-0.000408,False,4
0.85,6000,3,0.000425,0.659816,0.659081,0.000735,False,3
0.85,6000,4,0.000425,0.649322,0.692332,-0.04301,False,3
0.85,6000,5,0.000425,0.655422,0.654427,0.000995,False,3
0.85,6000,6,0.000425,0.653449,0.653831,-0.000382,False,3
0.85,6000,7,0.000425,0.654968,0.654947,2e-05,False,3
0.85,6000,8,0.000425,0.651744,0.652727,-0.000984,False,3
0.85,6000,9,0.000425,0.659777,0.659622,0.000155,False,4
0.92,1500,0,0.00227,0.627577,0.626703,0.000874,False,3
0.92,1500,1,0.00227,0.612744,0.611552,0.001192,False,4
0.92,1500,2,0.00227,0.620678,0.615207,0.00547,False,3
0.92,1500,3,0.00227,0.629225,0.627453,0.001772,False,3
0.92,1500,4,0.00227,0.626796,0.622451,0.004345,False,4
0.92,1500,5,0.00227,0.624712,0.6209,0.003812,False,4
0.92,1500,6,0.00227,0.64043,0.632083,0.008347,False,3
0.92,1500,7,0.00227,0.622995,0.618884,0.004111,False,3
0.92,1500,8,0.00227,0.624739,0.616092,0.008647,False,4
0.92,1500,9,0.00227,0.604838,0.604156,0.000682,False,3
0.92,3000,0,0.00227,0.625942,0.626853,-0.000911,False,3
0.92,3000,1,0.00227,0.614122,0.610973,0.003148,False,4
0.92,3000,2,0.00227,0.61918,0.614669,0.004511,False,3
0.92,3000,3,0.00227,0.6299,0.627826,0.002075,False,3
0.92,3000,4,0.00227,0.623736,0.622114,0.001622,False,4
0.92,3000,5,0.00227,0.62353,0.620905,0.002625,False,4
0.92,3000,6,0.00227,0.635897,0.631474,0.004423,False,4
0.92,3000,7,0.00227,0.622225,0.618755,0.00347,False,3
0.92,3000,8,0.00227,0.618979,0.614293,0.004686,False,4
0.92,3000,9,0.00227,0.603739,0.603686,5.2e-05,False,3
0.92,6000,0,0.00227,0.625735,0.625764,-3e-05,False,3
0.92,6000,1,0.00227,0.613508,0.610613,0.002895,False,4
0.92,6000,2,0.00227,0.617269,0.614226,0.003043,False,3
0.92,6000,3,0.00227,0.629199,0.627397,0.001802,False,3
0.92,6000,4,0.00227,0.623513,0.621813,0.001701,False,4
0.92,6000,5,0.00227,0.623576,0.620944,0.002632,False,4
0.92,6000,6,0.00227,0.634548,0.630434,0.004114,False,4
0.92,6000,7,0.00227,0.621268,0.618677,0.002592,False,3
0.92,6000,8,0.00227,0.618649,0.693203,-0.074554,False,4
0.92,6000,9,0.00227,0.602599,0.602517,8.2e-05,False,3
0.95,1500,0,0.006832,0.60957,0.599427,0.010143,True,4
0.95,1500,1,0.006832,0.610298,0.60066,0.009638,False,4
0.95,1500,2,0.006832,0.619872,0.608479,0.011393,True,4
0.95,1500,3,0.006832,0.600978,0.595231,0.005748,False,4
0.95,1500,4,0.006832,0.606448,0.597522,0.008926,False,4
0.95,1500,5,0.006832,0.618963,0.611534,0.007429,False,4
0.95,1500,6,0.006832,0.607127,0.593527,0.013599,True,4
0.95,1500,7,0.006832,0.604521,0.596472,0.008049,False,3
0.95,1500,8,0.006832,0.613295,0.603273,0.010022,True,4
0.95,1500,9,0.006832,0.606181,0.590584,0.015597,True,4
0.95,3000,0,0.006832,0.605098,0.599292,0.005805,False,4
0.95,3000,1,0.006832,0.61015,0.59866,0.01149,True,4
0.95,3000,2,0.006832,0.613935,0.606144,0.007791,False,4
0.95,3000,3,0.006832,0.600461,0.595101,0.005359,False,4
0.95,3000,4,0.006832,0.600289,0.595001,0.005288,False,4
0.95,3000,5,0.006832,0.615527,0.608615,0.006912,False,4
0.95,3000,6,0.006832,0.601939,0.592545,0.009394,False,4
0.95,3000,7,0.006832,0.601273,0.596315,0.004958,False,4
0.95,3000,8,0.006832,0.609677,0.693284,-0.083607,False,4
0.95,3000,9,0.006832,0.596164,0.582532,0.013632,True,4
0.95,6000,0,0.006832,0.605376,0.600115,0.005261,False,4
0.95,6000,1,0.006832,0.610568,0.597877,0.012691,True,4
0.95,6000,2,0.006832,0.615174,0.606139,0.009035,False,4
0.95,6000,3,0.006832,0.597931,0.594698,0.003234,False,4
0.95,6000,4,0.006832,0.599868,0.593948,0.00592,False,4
0.95,6000,5,0.006832,0.613856,0.608167,0.005689,False,4
0.95,6000,6,0.006832,0.600816,0.59165,0.009166,False,4
0.95,6000,7,0.006832,0.601514,0.692983,-0.091469,False,4
0.95,6000,8,0.006832,0.608855,0.602482,0.006373,False,4
0.95,6000,9,0.006832,0.591853,0.580415,0.011438,True,4
0.97,1500,0,0.012108,0.583726,0.570064,0.013662,True,4
0.97,1500,1,0.012108,0.588832,0.571746,0.017086,True,4
0.97,1500,2,0.012108,0.588927,0.576416,0.012511,True,4
0.97,1500,3,0.012108,0.581867,0.563698,0.018169,True,4
0.97,1500,4,0.012108,0.597319,0.582999,0.014319,True,4
0.97,1500,5,0.012108,0.595768,0.581922,0.013846,True,4
0.97,1500,6,0.012108,0.566982,0.549037,0.017944,True,4
0.97,1500,7,0.012108,0.58218,0.567156,0.015024,True,4
0.97,1500,8,0.012108,0.582166,0.567059,0.015107,True,4
0.97,1500,9,0.012108,0.582883,0.561976,0.020908,True,4
0.97,3000,0,0.012108,0.586163,0.570369,0.015794,True,4
0.97,3000,1,0.012108,0.584232,0.571339,0.012892,True,4
0.97,3000,2,0.012108,0.587468,0.575367,0.012101,True,4
0.97,3000,3,0.012108,0.581301,0.562831,0.018469,True,4
0.97,3000,4,0.012108,0.595028,0.581926,0.013102,True,4
0.97,3000,5,0.012108,0.589629,0.58099,0.008639,False,4
0.97,3000,6,0.012108,0.565782,0.549523,0.01626,True,4
0.97,3000,7,0.012108,0.578351,0.56618,0.012171,True,4
0.97,3000,8,0.012108,0.574553,0.563361,0.011193,True,4
0.97,3000,9,0.012108,0.577632,0.561306,0.016327,True,4
0.97,6000,0,0.012108,0.583213,0.569438,0.013775,True,4
0.97,6000,1,0.012108,0.58275,0.570501,0.012249,True,4
0.97,6000,2,0.012108,0.584518,0.57485,0.009668,False,4
0.97,6000,3,0.012108,0.577335,0.562866,0.014469,True,4
0.97,6000,4,0.012108,0.593897,0.581437,0.01246,True,4
0.97,6000,5,0.012108,0.589215,0.581668,0.007547,False,4
0.97,6000,6,0.012108,0.566887,0.548769,0.018118,True,4
0.97,6000,7,0.012108,0.577869,0.565631,0.012238,True,4
