unit_id,unit_type,phase,member,cell_id,metric,recommend_turn_conditional_metric,n_eval_points,wall_clock_seconds,process_cpu_seconds,wall_cpu_ratio,wall_cpu_ratio_flag_gt_1_25,cumulative_contention_robust_cpu_hours,run_started_at,run_finished_at,heldout_users_800_999_touched,future_observations_used,metric_digest
member::cert::predict_none::constant_none,member,cert,predict_none,constant_none,1.0,1.0,48000,117.6369776000065,103.84375,1.1328267478784857,False,1.0299088541666668,2026-07-05T06:04:00Z,2026-07-05T06:05:58Z,False,False,a85576438fe86c98a9ab86c036d34f975d843e3342f59305c15254085a855215
member::cert::predict_all::constant_saturated,member,cert,predict_all,constant_saturated,1.0,1.0,48000,118.85819679999258,104.1875,1.140810527174494,False,1.058849826388889,2026-07-05T06:04:00Z,2026-07-05T06:05:59Z,False,False,86c872153ce699370de3fd1d086cb91a34f5a0de5e07901e9414e2765fb1380a
member::cert::global_prior::constant_none,member,cert,global_prior,constant_none,1.0,1.0,48000,118.69725259998813,104.375,1.1372191865867127,False,1.0878428819444446,2026-07-05T06:04:00Z,2026-07-05T06:05:59Z,False,False,a85576438fe86c98a9ab86c036d34f975d843e3342f59305c15254085a855215
member::cert::majority::constant_none,member,cert,majority,constant_none,1.0,1.0,48000,120.72901320000528,106.171875,1.1371091750993876,False,1.1173350694444446,2026-07-05T06:04:00Z,2026-07-05T06:06:01Z,False,False,a85576438fe86c98a9ab86c036d34f975d843e3342f59305c15254085a855215
member::cert::seq_full_history_no_action_conditioning::constant_none,member,cert,seq_full_history_no_action_conditioning,constant_none,0.0,0.0,48000,140.20876660000067,122.796875,1.1417942565720884,False,1.1514453125000002,2026-07-05T06:04:01Z,2026-07-05T06:06:21Z,False,False,f21aaf51e0a035fdca2b53fa991c48091283b4c9ea867655c4fd32e68e772882
member::cert::seq_window_with_action_conditioning_W15_no_cross_session_persistence::low_diversity,member,cert,seq_window_with_action_conditioning_W15_no_cross_session_persistence,low_diversity,0.07185521761672134,0.02901466118756163,48000,173.95840490001137,150.4375,1.1563500117989953,False,1.1932335069444446,2026-07-05T06:04:00Z,2026-07-05T06:06:54Z,False,False,8c68a59e38e67a197aa3162c2a1e530fe541effe056bc4df0d85520c2a4f40fb
member::cert::obs_decoder_gru::camouflage_off,member,cert,obs_decoder_gru,camouflage_off,0.053292327811439055,0.0265968887555022,48000,177.24846039999102,153.96875,1.151197631986952,False,1.236002604166667,2026-07-05T06:04:00Z,2026-07-05T06:06:57Z,False,False,f283f4b7be58fee80b05a0e74696ac005ceeac857820b18d56a316900ed96a28
member::cert::transition_table::low_diversity,member,cert,transition_table,low_diversity,0.030933953087504375,0.0325177401604032,48000,169.6860641999956,146.546875,1.1578961625759376,False,1.2767100694444447,2026-07-05T06:05:59Z,2026-07-05T06:08:49Z,False,False,ef2674b9b523261e7b909e43c5223005736ba8cfec718823e0b6446dd9041656
member::cert::successor_map::low_diversity,member,cert,successor_map,low_diversity,0.040623897497393285,0.029792860207661996,48000,171.17694740000297,148.4375,1.1531920666947568,False,1.3179427083333335,2026-07-05T06:05:58Z,2026-07-05T06:08:49Z,False,False,ee06591889a3f5d1938ea90c2643761b1543f423ed0a8b62d73bf2cf600e3866
member::cert::count_table::low_diversity,member,cert,count_table,low_diversity,0.03397835313056467,0.034722222222222224,48000,171.3349038999877,148.828125,1.1512266508765576,False,1.3592838541666667,2026-07-05T06:05:59Z,2026-07-05T06:08:51Z,False,False,97ca307b6ce125ffb5853fd5151b590e69b8cbb3982ee6ec48b2bd46d1b7503f
member::cert::fsm_planner::low_diversity,member,cert,fsm_planner,low_diversity,0.03255749793032967,0.026648643223130715,48000,249.397157600004,216.859375,1.1500409313639495,False,1.4195225694444444,2026-07-05T06:06:01Z,2026-07-05T06:10:10Z,False,False,428b28cd7f2bf94b303f87c07a8bfc1961f0063390ce14ed386bdd01d4ed762a
