regime,seed,channel,n_train,independent_r2,shared_r2,delta_shared_minus_independent
balanced_ample,0,0,400,0.998396,0.998396,-0.0
balanced_ample,0,1,400,0.997921,0.998067,0.000146
balanced_ample,0,2,400,0.997346,0.998079,0.000733
balanced_ample,1,0,400,0.997204,0.997204,-0.0
balanced_ample,1,1,400,0.995165,0.995511,0.000347
balanced_ample,1,2,400,0.990726,0.997073,0.006347
balanced_ample,2,0,400,0.990435,0.990448,1.3e-05
balanced_ample,2,1,400,0.998143,0.991053,-0.007091
balanced_ample,2,2,400,0.985283,0.991102,0.005819
balanced_ample,3,0,400,0.999805,0.999805,0.0
balanced_ample,3,1,400,0.997977,0.999287,0.001309
balanced_ample,3,2,400,0.998833,0.99986,0.001026
balanced_ample,4,0,400,0.996972,0.997546,0.000574
balanced_ample,4,1,400,0.958283,0.991323,0.03304
balanced_ample,4,2,400,0.999304,0.997564,-0.00174
balanced_ample,5,0,400,0.994971,0.996187,0.001216
balanced_ample,5,1,400,0.998905,0.996277,-0.002628
balanced_ample,5,2,400,0.99856,0.996325,-0.002235
balanced_ample,6,0,400,0.998342,0.998342,0.0
balanced_ample,6,1,400,0.99956,0.999252,-0.000308
balanced_ample,6,2,400,0.988557,0.998568,0.010012
balanced_ample,7,0,400,0.413645,0.392466,-0.021179
balanced_ample,7,1,400,0.999439,0.539398,-0.460041
balanced_ample,7,2,400,0.996627,0.531614,-0.465014
balanced_ample,8,0,400,0.998176,0.998176,0.0
balanced_ample,8,1,400,0.998092,0.998182,9e-05
balanced_ample,8,2,400,0.998793,0.998108,-0.000685
balanced_ample,9,0,400,0.994566,0.994492,-7.4e-05
balanced_ample,9,1,400,0.976879,0.994467,0.017588
balanced_ample,9,2,400,0.991911,0.99186,-5.2e-05
imbalanced,0,0,400,0.998396,0.998396,-0.0
imbalanced,0,1,15,0.986696,0.985522,-0.001174
imbalanced,0,2,15,0.764231,0.982311,0.21808
imbalanced,1,0,400,0.997204,0.997204,-0.0
imbalanced,1,1,15,0.840777,0.984336,0.143559
imbalanced,1,2,15,0.569871,0.996615,0.426744
imbalanced,2,0,400,0.990435,0.990448,1.3e-05
imbalanced,2,1,15,0.726138,0.982108,0.255971
imbalanced,2,2,15,0.726197,0.984519,0.258322
imbalanced,3,0,400,0.999805,0.999805,0.0
imbalanced,3,1,15,0.627152,0.946178,0.319026
imbalanced,3,2,15,0.986804,0.998428,0.011624
imbalanced,4,0,400,0.996972,0.997546,0.000574
imbalanced,4,1,15,-2.955525,0.984568,3.940093
imbalanced,4,2,15,0.710871,0.995655,0.284784
imbalanced,5,0,400,0.994971,0.996187,0.001216
imbalanced,5,1,15,0.98083,0.996293,0.015463
imbalanced,5,2,15,0.824718,0.958488,0.13377
imbalanced,6,0,400,0.998342,0.998342,0.0
imbalanced,6,1,15,0.96481,0.998686,0.033875
imbalanced,6,2,15,0.122842,0.998333,0.875491
imbalanced,7,0,400,0.413645,0.392466,-0.021179
imbalanced,7,1,15,0.964234,0.498587,-0.465647
imbalanced,7,2,15,0.260797,0.464541,0.203743
imbalanced,8,0,400,0.998176,0.998176,0.0
imbalanced,8,1,15,0.836279,0.998049,0.16177
imbalanced,8,2,15,0.912028,0.989149,0.077121
imbalanced,9,0,400,0.994566,0.994492,-7.4e-05
imbalanced,9,1,15,0.155365,0.656236,0.500872
imbalanced,9,2,15,0.735137,0.987457,0.25232
positive_control,0,0,400,0.998396,0.998396,-0.0
positive_control,0,1,8,0.862531,0.997865,0.135334
positive_control,0,2,8,-0.531094,0.997123,1.528217
positive_control,1,0,400,0.997204,0.997204,-0.0
positive_control,1,1,8,0.63357,0.996755,0.363186
positive_control,1,2,8,-4.957872,0.941054,5.898926
positive_control,2,0,400,0.990435,0.990448,1.3e-05
positive_control,2,1,8,0.900755,0.969613,0.068858
positive_control,2,2,8,0.523789,0.985888,0.462099
positive_control,3,0,400,0.999805,0.999805,0.0
positive_control,3,1,8,0.225104,0.740269,0.515165
positive_control,3,2,8,0.816786,0.948556,0.131771
positive_control,4,0,400,0.996972,0.997546,0.000574
positive_control,4,1,8,-0.304277,0.825201,1.129478
positive_control,4,2,8,0.897583,0.997533,0.099951
positive_control,5,0,400,0.994971,0.996187,0.001216
positive_control,5,1,8,0.957835,0.971479,0.013644
positive_control,5,2,8,0.693384,0.996313,0.30293
positive_control,6,0,400,0.998342,0.998342,0.0
positive_control,6,1,8,0.868706,0.994431,0.125725
positive_control,6,2,8,0.237399,0.784272,0.546873
positive_control,7,0,400,0.413645,0.392466,-0.021179
positive_control,7,1,8,0.411522,0.447685,0.036163
positive_control,7,2,8,0.84569,0.499291,-0.346398
positive_control,8,0,400,0.998176,0.998176,0.0
positive_control,8,1,8,0.883707,0.98422,0.100513
positive_control,8,2,8,0.907208,0.987851,0.080643
positive_control,9,0,400,0.994566,0.994492,-7.4e-05
positive_control,9,1,8,0.161765,0.884155,0.72239
positive_control,9,2,8,0.393619,0.987732,0.594113
negative_control,0,0,400,0.916924,0.908217,-0.008707
negative_control,0,1,15,0.969153,-0.081862,-1.051014
negative_control,0,2,15,0.494918,-0.051607,-0.546525
negative_control,1,0,400,0.999022,0.999018,-4e-06
negative_control,1,1,15,0.974415,-0.038632,-1.013048
negative_control,1,2,15,0.921195,-0.657173,-1.578368
negative_control,2,0,400,0.996757,0.996757,-0.0
negative_control,2,1,15,0.973394,-0.00229,-0.975683
negative_control,2,2,15,0.994633,-0.666356,-1.660989
negative_control,3,0,400,0.999947,0.999926,-2.1e-05
negative_control,3,1,15,0.913361,-0.17231,-1.08567
negative_control,3,2,15,0.950251,-0.080298,-1.030549
negative_control,4,0,400,0.997926,0.997631,-0.000295
negative_control,4,1,15,0.973822,-0.005294,-0.979116
negative_control,4,2,15,0.991183,-0.013291,-1.004474
negative_control,5,0,400,0.9995,0.9995,-0.0
negative_control,5,1,15,0.937967,-0.018769,-0.956735
negative_control,5,2,15,0.960372,-0.058256,-1.018628
negative_control,6,0,400,0.999812,0.999845,3.3e-05
negative_control,6,1,15,0.990358,-0.109813,-1.100171
negative_control,6,2,15,0.975518,-0.127592,-1.10311
negative_control,7,0,400,0.975585,0.97499,-0.000594
negative_control,7,1,15,0.969963,0.010368,-0.959595
negative_control,7,2,15,0.892886,-0.038818,-0.931703
negative_control,8,0,400,0.999664,0.999664,0.0
negative_control,8,1,15,0.400619,-0.019928,-0.420547
negative_control,8,2,15,0.988684,-0.016448,-1.005132
negative_control,9,0,400,0.998875,0.998418,-0.000458
negative_control,9,1,15,0.980182,-0.033987,-1.014169
negative_control,9,2,15,0.942514,-0.78765,-1.730163
